Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,Twitter Followers,Instagram Followers,Linkedin Followers,CEO Connections,CEO_Connections_Dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,Total Funding Amount (converted),Last Funding Amount (converted),Organization Age
Pockethost,2021-01-01,"Plankstadt, Baden-Wurttemberg,",Plankstadt,Baden-Wurttemberg,"Apps, Gaming, Online Games,",1-10,1,"€375,000",Pre-Seed,2022-09-26,"€375,000",,,Pockethost is a software development company that provides applications to create servers and plugins for MCPE games.,Apps,Pockethost Apps startup website,,98.0,,,0,€,375000.0,€,375000.0,0.97,historical,0.97,375000.0,375000.0,4
35up,2020-02-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), E-Commerce,,,,,",11-50,2,"$8,300,000",Series A,2022-09-29,"$5,000,000",3.0,2.0,Bringing Embedded Cross-Selling into every online checkout.,Artificial Intelligence (AI),35up Artificial Intelligence (AI) startup website,,,818.0,500.0,1,$,8300000.0,$,5000000.0,0.97,historical,0.97,8051000.0,4850000.0,4
Along,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,Software,1-10,1,"€1,000,000",Pre-Seed,2022-09-29,"€1,000,000",14.0,6.0,The #1 buyer engagement platfporm,Software,Along Software startup website,32.0,,2000.0,500.0,1,€,1000000.0,€,1000000.0,0.97,historical,0.97,1000000.0,1000000.0,3
comoon.xyz,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Analytics, Blockchain, Cryptocurrency,,",1-10,1,"€170,000",Pre-Seed,2022-09-30,"€170,000",1.0,,No-code analytics platform for web3 communities,Analytics,comoon.xyz Analytics startup website,,,5000.0,500.0,1,€,170000.0,€,170000.0,0.98,historical,0.98,170000.0,170000.0,3
Gleans,2022-07-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Content, Mobile Apps",1-10,1,"€170,000",Pre-Seed,2022-09-30,"€170,000",1.0,1.0,"Your Personal Content Hub. Combining the convenience of social media, with the flexibility of a website.",Apps,Gleans Apps startup website,,,,,0,€,170000.0,€,170000.0,0.98,historical,0.98,170000.0,170000.0,2
Atem,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"CleanTech, Consulting, Software Engineering",11-50,1,,Pre-Seed,2022-10-01,,3.0,,Atem offers tools for companies working with carbon credits at scale.,CleanTech,Atem CleanTech startup website,,,,,0,,,,,0.98,historical,0.98,,,3
VeeMind,2022-09-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Human Resources, SaaS",1-10,1,"€350,000",Pre-Seed,2022-10-01,"€350,000",,,HR B2B SaaS leadership development platform,Human Resources,VeeMind Human Resources startup website,,,448.0,101.0,0,€,350000.0,€,350000.0,0.98,historical,0.98,350000.0,350000.0,2
Epapa,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), EdTech,",1-10,1,"€87,000",Pre-Seed,2022-10-01,"€87,000",1.0,,Epapa | An AI-powered learning App for activating abstract thinking in everyone,Artificial Intelligence (AI),Epapa Artificial Intelligence (AI) startup website,,107.0,6000.0,500.0,1,€,87000.0,€,87000.0,0.98,historical,0.98,87000.0,87000.0,2
3Jguys GmbH,2020-04-14,"Speyer, Rheinland-Pfalz, Germany",Speyer,Rheinland-Pfalz,"Social Media, Social Network,,",11-50,2,"€200,000",Seed,2022-10-01,,,1.0,"3Jguys provides the stadium community app ArenaFans - the fastest growing vertical social network for fans. Global, x-sports, independent.",Social Media,3Jguys GmbH Social Media startup website,,,375.0,500.0,1,€,200000.0,,,0.98,historical,0.98,200000.0,,4
CLUP.life GmbH,2022-05-09,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Technology, Internet,,",1-10,1,,Pre-Seed,2022-10-01,,,1.0,"CLUP.life is a social network for community clubs, associations and its members and makes messenger services interoperable",Information Technology,CLUP.life GmbH Information Technology startup website,34.0,1.0,451.0,187.0,0,,,,,0.98,historical,0.98,,,2
Immerok,2022-05-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Cloud Data Services, Developer Platform,,",11-50,1,"$17,000,000",Seed,2022-10-03,"$17,000,000",5.0,10.0,Immerok is building a fully managed Apache Flink cloud service for real-time stream processing applications at scale.,Cloud Data Services,Immerok Cloud Data Services startup website,1140.0,,1000.0,,0,$,17000000.0,$,17000000.0,0.98,historical,0.98,16660000.0,16660000.0,2
Patronus Group,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Elderly, Health Care, Information Technology,",51-100,3,"$33,762,032",Series A,2022-10-05,"€27,000,000",11.0,1.0,Patronus Group is an elderly well-being company that assists parents and grandparents in living safely and independently in the future.,Elderly,Patronus Group Elderly startup website,,,5000.0,500.0,1,$,33762032.0,€,27000000.0,1.0,historical,1.0,33762032.0,27000000.0,4
HumanAIze,2022-03-28,"Berlin, Berlin, Germany",Berlin,Berlin,Artificial Intelligence (AI),1-10,1,,Pre-Seed,2022-10-06,,1.0,,HumanAIze offers empathetic AI to unlock the power of people and culture.,Artificial Intelligence (AI),HumanAIze Artificial Intelligence (AI) startup website,,,742.0,500.0,1,,,,,0.99,historical,0.99,,,2
QuantPi,2020-01-01,"Saarbrücken, Saarland, Germany",Saarbrücken,Saarland,"Artificial Intelligence (AI), Machine Learning,",11-50,2,"€2,500,000",Pre-Seed,2022-10-07,"€2,500,000",5.0,,QuantPi creates automated and scalable solutions for AI model explainability and robustness auditing.,Artificial Intelligence (AI),QuantPi Artificial Intelligence (AI) startup website,,,3000.0,500.0,1,€,2500000.0,€,2500000.0,0.98,historical,0.98,2500000.0,2500000.0,5
Solarize,2020-01-01,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Energy, SaaS",11-50,2,"€6,300,000",Seed,2022-10-11,"€4,300,000",3.0,,"Solarize provides SaaS for energy production, distribution, and billing for commercial microgrids.",Energy,Solarize Energy startup website,,,3000.0,500.0,1,€,6300000.0,€,4300000.0,0.97,historical,0.97,6300000.0,4300000.0,5
Fides,2021-09-03,"Munich, Bayern, Germany",Munich,Bayern,Software,11-50,2,"$4,300,000",Seed,2022-10-12,"$3,300,000",9.0,6.0,One-stop-shop for Corporate Governance.,Software,Fides Software startup website,2.0,270.0,3000.0,500.0,1,$,4300000.0,$,3300000.0,0.97,historical,0.97,4171000.0,3201000.0,3
Climatiq,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"CleanTech, Developer APIs, Enterprise Software,,",11-50,2,"$7,832,899",Seed,2022-10-14,"€6,000,000",3.0,16.0,Build climate intelligent solutions powered by smart data,CleanTech,Climatiq CleanTech startup website,,,8000.0,500.0,1,$,7832899.0,€,6000000.0,0.98,historical,0.98,7676241.02,6000000.0,4
Hidden Smiles,2022-08-02,"Berlin, Berlin, Germany",Berlin,Berlin,"Enterprise Software, Human Resources,,",1-10,1,,Pre-Seed,2022-10-20,,1.0,,"Hidden Smiles is a SaaS solution that helps individuals feel valued and appreciated for their work, regardless of where they do it.",Enterprise Software,Hidden Smiles Enterprise Software startup website,,,,,0,,,,,0.98,historical,0.98,,,2
ImpactNexus,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Services, Information Technology,",11-50,1,"€800,000",Seed,2022-10-26,"€800,000",3.0,,"ImpactNexus offers SaaS solutions to assess, improve and report sustainability impacts & ESG-performance for startups and their supporters.",Information Services,ImpactNexus Information Services startup website,,,1000.0,500.0,1,€,800000.0,€,800000.0,1.0,historical,1.0,800000.0,800000.0,4
Ninetailed,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"CMS, Personalization, Software",11-50,3,"€6,600,000",Seed,2022-10-26,"€5,000,000",7.0,8.0,Ninetailed primarily offers personalization for headless CMS and modern jamstack frameworks.,CMS,Ninetailed CMS startup website,103.0,,2000.0,500.0,1,€,6600000.0,€,5000000.0,1.0,historical,1.0,6600000.0,5000000.0,4
Dissecto,2022-04-29,"Regensburg, Bayern, Germany",Regensburg,Bayern,Cyber Security,1-10,1,,Pre-Seed,2022-10-28,,1.0,,"Dissecto is a security diagnostics, analytics, and solutions.",Cyber Security,Dissecto Cyber Security startup website,,,797.0,500.0,1,,,,,1.0,historical,1.0,,,2
crowd.dev,2021-06-30,"Berlin, Berlin, Germany",Berlin,Berlin,"Communities, Developer Tools,,",11-50,1,"€2,200,000",Pre-Seed,2022-10-28,"€2,200,000",9.0,1.0,crowd.dev is a open-source suite of community and data tools built to unlock community-led growth for organizations.,Communities,crowd.dev Communities startup website,,,983.0,500.0,1,€,2200000.0,€,2200000.0,1.0,historical,1.0,2200000.0,2200000.0,3
l1r1,2021-09-30,"Berlin, Berlin, Germany",Berlin,Berlin,"Accounting, Artificial Intelligence (AI),",11-50,1,"€1,300,000",Pre-Seed,2022-10-30,"€1,300,000",3.0,,Developing heylara.de the first Conversation Business Automation (CBA) solution,Accounting,l1r1 Accounting startup website,,2014.0,598.0,500.0,1,€,1300000.0,€,1300000.0,1.0,historical,1.0,1300000.0,1300000.0,3
Februar,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Bitcoin, Cryptocurrency, FinTech,,",1-10,1,"€1,500,000",Pre-Seed,2022-10-31,"€1,500,000",10.0,1.0,Februar provides payment infrastructure for Web3 and digital payments.,Bitcoin,Februar Bitcoin startup website,123.0,,509.0,2.0,0,€,1500000.0,€,1500000.0,1.0,historical,1.0,1500000.0,1500000.0,3
Elona Health,2021-01-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"Apps, Health Care, Medical, Medical Device,",11-50,2,,Seed,2022-11-01,,4.0,2.0,Elona Health is a digital health application for therapy support in the treatment of depression.,Apps,Elona Health Apps startup website,,,2000.0,500.0,1,,,,,0.99,historical,0.99,,,4
mavue,2022-01-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Artificial Intelligence (AI), Software,",1-10,1,,Pre-Seed,2022-11-01,,1.0,,mavue is the sustainability operating system for industrial companies.,Artificial Intelligence (AI),mavue Artificial Intelligence (AI) startup website,,,1000.0,500.0,1,,,,,0.99,historical,0.99,,,3
nextx,2021-01-01,"Heidelberg, Baden-Wurttemberg,",Heidelberg,Baden-Wurttemberg,"Artificial Intelligence (AI), Career Planning,,",11-50,1,,Pre-Seed,2022-11-02,,1.0,,Real career orientation and sustainable recruiting,Artificial Intelligence (AI),nextx Artificial Intelligence (AI) startup website,,293.0,1000.0,500.0,1,,,,,0.99,historical,0.99,,,4
Evmos,2021-06-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Blockchain, Cryptocurrency",11-50,1,"$27,000,000",Seed,2022-11-02,"$27,000,000",11.0,9.0,Evmos is Ethereum-based applications and assets to the interoperable networks of the Cosmos ecosystem.,Blockchain,Evmos Blockchain startup website,112400.0,,2000.0,500.0,1,$,27000000.0,$,27000000.0,0.99,historical,0.99,26730000.0,26730000.0,3
krowdz,2022-01-01,"Köln, Nordrhein-Westfalen, Germany",Köln,Nordrhein-Westfalen,"Blockchain, Cryptocurrency, Music",51-100,1,"$100,000",Pre-Seed,2022-11-03,"$100,000",1.0,,"Sony Music backed, Krowdz is a fan engagement platform ultimately owned by music artists and their fan communities (fan clubs 3.0).",Blockchain,krowdz Blockchain startup website,581.0,1.0,29.0,500.0,1,$,100000.0,$,100000.0,0.98,historical,0.98,98000.0,98000.0,3
Ahead App,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,E-Learning,1-10,2,"€1,120,000",Seed,2022-11-04,,11.0,3.0,"Ahead is a personalized pocket coach that provides bite-sized, science-driven tools to boost emotional intelligence.",E-Learning,Ahead App E-Learning startup website,19.0,55800.0,3000.0,500.0,1,€,1120000.0,,,0.97,historical,0.97,1120000.0,,5
Snaplet,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Database, Information Technology,",1-10,2,"$100,000",Pre-Seed,2022-11-04,,3.0,1.0,"Snaplet is a tool for developers that copies a Postgres database, transforming personal information, to safely code against actual data.",Database,Snaplet Database startup website,1179.0,,345.0,,0,$,100000.0,,,0.97,historical,0.97,97000.0,,5
KNOWRON,2020-01-01,"München, Bayern, Germany",München,Bayern,"Artificial Intelligence (AI), Internet,,",11-50,2,"€1,800,000",Seed,2022-11-08,"€1,800,000",3.0,1.0,Knowron empowers service technicians with their tasks through AI.,Artificial Intelligence (AI),KNOWRON Artificial Intelligence (AI) startup website,,,3000.0,500.0,1,€,1800000.0,€,1800000.0,1.0,historical,1.0,1800000.0,1800000.0,5
WeDataNation,2022-11-14,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"Information Technology, Mobile Apps,",11-50,1,"€60,000",Pre-Seed,2022-11-14,"€60,000",2.0,,WeDataNation is a mobile application for analysis and regaining control of data.,Information Technology,WeDataNation Information Technology startup website,215.0,20.0,1000.0,,0,€,60000.0,€,60000.0,1.03,historical,1.03,60000.0,60000.0,2
clous,2020-01-06,"Berlin, Berlin, Germany",Berlin,Berlin,Software,11-50,5,"€825,000",Seed,2022-11-15,,7.0,2.0,clous is the platform for the implementation of individual workflows for the automated conversion and analysis of engineering data.,Software,clous Software startup website,,,,,0,€,825000.0,,,1.03,historical,1.03,825000.0,,5
Kombo,2022-05-30,"Berlin, Berlin, Germany",Berlin,Berlin,"Consulting, Human Resources,",11-50,1,"$7,800,000",Seed,2022-11-15,"$7,800,000",10.0,,"Kombo is an API for HR, Payroll, ATS and Recruiting integrations",Consulting,Kombo Consulting startup website,,,3000.0,500.0,1,$,7800000.0,$,7800000.0,1.03,historical,1.03,8034000.0,8034000.0,2
House Of Change,2022-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Artificial Intelligence (AI), Consulting,,,,,",1-10,1,,Pre-Seed,2022-11-16,,3.0,,info.link brings every physical product to the digital world.,Artificial Intelligence (AI),House Of Change Artificial Intelligence (AI) startup website,,,,,0,,,,,1.04,historical,1.04,,,3
Traindoo,2022-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Health Care, Software",1-10,1,"€500,000",Pre-Seed,2022-11-17,"€500,000",3.0,,Traindoo offers a tool for online coaching and physiotherapy.,Health Care,Traindoo Health Care startup website,,758.0,289.0,198.0,0,€,500000.0,€,500000.0,1.04,historical,1.04,500000.0,500000.0,3
VISPA,2020-08-01,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Collaboration, Information Technology,",11-50,1,"€1,500,000",Seed,2022-11-17,"€1,500,000",3.0,,VISPA is a virtual team collaboration that allows teams to use virtual rooms for successful projects.,Collaboration,VISPA Collaboration startup website,,,2000.0,500.0,1,€,1500000.0,€,1500000.0,1.04,historical,1.04,1500000.0,1500000.0,4
Sizekick,2022-08-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), E-Commerce,",11-50,1,"€1,300,000",Seed,2022-11-18,"€1,300,000",1.0,3.0,Sizekick uses AI and computer vision technology to reduce returns in fashion e-commerce.,Artificial Intelligence (AI),Sizekick Artificial Intelligence (AI) startup website,,,,,0,€,1300000.0,€,1300000.0,1.04,historical,1.04,1300000.0,1300000.0,2
ShopVibes,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,Software,1-10,1,,Pre-Seed,2022-11-22,,5.0,,ShopVibes is a SaaS-based product information management company.,Software,ShopVibes Software startup website,2.0,,578.0,500.0,1,,,,,1.02,historical,1.02,,,5
kitchX,2021-03-23,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"Architecture, Construction, Home Renovation,",11-50,2,,Seed,2022-11-23,,1.0,,The world's first conversational commerce home-renovation advisor - making dream homes a reality,Architecture,kitchX Architecture startup website,,,860.0,500.0,1,,,,,1.03,historical,1.03,,,3
Volateq,2020-11-13,"Hilden, Nordrhein-Westfalen, Germany",Hilden,Nordrhein-Westfalen,"Analytics, Artificial Intelligence (AI),,",11-50,1,,Seed,2022-11-25,,,,improving solar plants with drone-base analytics,Analytics,Volateq Analytics startup website,,,2000.0,500.0,1,,,,,1.04,historical,1.04,,,4
Amie,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Productivity Tools, Software",1-10,3,"$8,300,000",Seed,2022-11-28,"$7,000,000",11.0,5.0,The joyful productivity app,Productivity Tools,Amie Productivity Tools startup website,,,11000.0,500.0,1,$,8300000.0,$,7000000.0,1.04,historical,1.04,8632000.0,7280000.0,5
Mirantus Health,2022-07-27,"Berlin, Berlin, Germany",Berlin,Berlin,"Health Care, Information Technology,",11-50,1,,Pre-Seed,2022-11-30,,9.0,1.0,Mirantus is building a distributed healthcare provider to improve access to care for underserved patients.,Health Care,Mirantus Health Health Care startup website,,,984.0,500.0,1,,,,,1.03,historical,1.03,,,2
Candoora,2022-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Artificial Intelligence (AI), Human Resources,,,",1-10,1,,Pre-Seed,2022-12-01,,1.0,,Employee Performance Platform,Artificial Intelligence (AI),Candoora Artificial Intelligence (AI) startup website,,,,,0,,,,,1.04,historical,1.04,,,3
PARSER,2021-09-30,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Analytics, Big Data, Marketing,,",1-10,1,,Seed,2022-12-01,,,,PARSER is the smart monitoring and control center for cross-platform social media data.,Analytics,PARSER Analytics startup website,,,6000.0,500.0,1,,,,,1.04,historical,1.04,,,3
PINSL,2021-03-01,"Munich, Bayern, Germany",Munich,Bayern,"Art, Blockchain, Metaverse, Software",11-50,1,"€717,000",Pre-Seed,2022-12-01,"€717,000",,,"The most user-friendly, reputable, and compliant NFT platform to bridge the gap between Fine Art and the metaverse.",Art,PINSL Art startup website,,,1000.0,,0,€,717000.0,€,717000.0,1.04,historical,1.04,717000.0,717000.0,3
Qruise,2021-01-01,"Saarbrücken, Saarland, Germany",Saarbrücken,Saarland,"Artificial Intelligence (AI), Machine Learning,,,",11-50,2,,Pre-Seed,2022-12-01,,2.0,,Machine Learning for Science - starting with Quantum Technologies,Artificial Intelligence (AI),Qruise Artificial Intelligence (AI) startup website,285.0,,2000.0,500.0,1,,,,,1.04,historical,1.04,,,4
21strategies,2020-03-09,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Finance,,,,,,,,",1-10,3,"€3,375,000",Seed,2022-12-13,"€1,875,000",2.0,101.0,21strategies leverages deep technology and Enterprise AI to transform how organizations make decisions under uncertainty.,Artificial Intelligence (AI),21strategies Artificial Intelligence (AI) startup website,,,703.0,500.0,1,€,3375000.0,€,1875000.0,1.05,historical,1.05,3375000.0,1875000.0,4
Playbook® - Company AI,2022-04-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), B2B,,,,,",11-50,1,"€960,000",Pre-Seed,2022-12-15,"€960,000",5.0,,To become the primary Company AI. The most capable and reliable enterprise resource.,Artificial Intelligence (AI),Playbook® - Company AI Artificial Intelligence (AI) startup website,973.0,,6000.0,500.0,1,€,960000.0,€,960000.0,1.07,historical,1.07,960000.0,960000.0,2
